gene,log2FoldChange,pvalue,padj
SPTBN5,6.994063829,4.76E-48,8.78E-44
ARSI,9.132245058,2.21E-43,2.04E-39
ADGRG2,8.78688247,7.14E-33,4.39E-29
SNORA80B,6.807700851,2.70E-32,1.24E-28
PRRT2,9.798045771,8.90E-32,3.28E-28
TSGA10,8.041539585,2.61E-30,7.95E-27
MTRNR2L2,4.900759859,3.02E-30,7.95E-27
GRIN2D,6.3797717,1.90E-29,4.37E-26
DNAH2,7.58133993,8.53E-29,1.75E-25
BPTF,6.305388837,1.07E-23,1.97E-20
CACNG8,8.004944335,9.16E-22,1.54E-18
HR,6.890019032,2.08E-21,3.19E-18
POU4F1,8.902248428,4.83E-21,6.85E-18
PSKH2,7.019009779,2.70E-20,3.48E-17
MYOD1,9.787363221,2.83E-20,3.48E-17
RNF225,7.898141696,3.41E-20,3.93E-17
EPN3,7.101063177,3.65E-20,3.96E-17
CNTNAP3,6.330593406,1.29E-19,1.32E-16
DTWD2,4.620782138,1.64E-19,1.59E-16
PGAP1,5.482255957,1.80E-19,1.66E-16
CYBB,-4.827992715,2.05E-19,1.80E-16
MATK,8.299821861,4.73E-19,3.97E-16
ACHE,8.181402563,5.30E-19,4.25E-16
EBLN2,6.481743549,1.04E-18,7.97E-16
GCGR,8.873851613,2.72E-18,2.01E-15
GCGR,8.873851613,2.72E-18,2.01E-15
COX6B2,7.205838959,5.96E-18,4.23E-15
USH1G,6.341328972,1.35E-17,9.23E-15
C6orf201,6.297225794,1.58E-17,1.04E-14
MTRNR2L7,6.610726128,1.84E-17,1.17E-14
VAT1L,6.240895277,2.70E-17,1.66E-14
PSAP,-3.203755119,4.18E-17,2.49E-14
COL13A1,5.339012482,5.21E-17,3.00E-14
COL27A1,3.938171861,6.93E-17,3.87E-14
FOXA2,8.810197351,9.07E-17,4.92E-14
LHFPL4,5.934050279,1.37E-16,7.21E-14
PLXDC2,-3.685945656,2.17E-16,1.11E-13
NKX1-2,7.560506527,2.39E-16,1.19E-13
SDK2,6.20785315,2.83E-16,1.37E-13
SLC22A7,8.594265002,2.95E-16,1.39E-13
DMRT3,10.13986383,4.04E-16,1.86E-13
IRF8,-5.240970061,4.55E-16,2.05E-13
BARHL1,10.63261631,4.97E-16,2.18E-13
SCUBE3,4.445917772,5.28E-16,2.26E-13
SEMA5B,6.907483692,6.11E-16,2.56E-13
KMT5A,3.956141147,1.56E-15,6.38E-13
STUM,4.612954061,1.84E-15,7.39E-13
CD84,-4.852240511,2.73E-15,1.07E-12
SORL1,-5.707122756,3.69E-15,1.42E-12
BHLHE41,-3.359649889,3.79E-15,1.43E-12
KCNE1,5.472792146,3.88E-15,1.43E-12
RNU11,5.42537855,4.77E-15,1.72E-12
PLPPR3,5.841486745,4.85E-15,1.72E-12
PLPPR3,5.841486745,4.85E-15,1.72E-12
SHISA8,7.317872975,6.17E-15,2.15E-12
RBMXL2,8.485013135,1.05E-14,3.59E-12
SPSB1,6.444331647,1.43E-14,4.80E-12
HCN4,8.871969738,1.63E-14,5.38E-12
SOCS1,6.577699521,2.10E-14,6.78E-12
SELPLG,-5.859442151,2.56E-14,8.13E-12
DUSP15,5.302884896,2.74E-14,8.50E-12
EDDM3B,7.72103722,2.76E-14,8.50E-12
KLHL35,7.255765003,6.40E-14,1.94E-11
ZNF497,6.119018081,9.90E-14,2.95E-11
PTPRC,-4.4633307,1.10E-13,3.23E-11
PTPRC,-4.4633307,1.10E-13,3.23E-11
EPB41L4B,5.233397983,1.44E-13,4.16E-11
MYBL2,9.761573028,1.50E-13,4.27E-11
ASGR1,7.063842473,1.64E-13,4.58E-11
DOCK2,-3.823286977,2.21E-13,6.09E-11
CCNF,4.81998259,3.32E-13,8.88E-11
HOXD9,9.625480872,3.32E-13,8.88E-11
NKX2-5,6.938059843,4.30E-13,1.13E-10
PLD4,-6.73860282,4.39E-13,1.14E-10
BMP8B,6.902238367,4.49E-13,1.15E-10
TEX101,6.341816798,5.18E-13,1.31E-10
FOXI3,6.993739664,9.69E-13,2.41E-10
SP5,8.183859344,1.01E-12,2.49E-10
FGF8,8.987861087,1.19E-12,2.90E-10
EFNA3,4.861988446,1.29E-12,3.09E-10
C3,-5.858392152,1.33E-12,3.14E-10
TMEM185A,7.294881259,1.39E-12,3.24E-10
TCF21,8.430405477,2.28E-12,5.25E-10
GBX2,7.310787334,3.11E-12,7.08E-10
MIR3648-1,4.799890821,4.46E-12,1.00E-09
C9orf50,7.022670527,4.68E-12,1.04E-09
FOXF2,5.406709502,4.79E-12,1.05E-09
C2CD4C,4.312347776,5.65E-12,1.23E-09
PRSS40B,9.178201328,7.87E-12,1.69E-09
PRSS40B,9.178201328,7.87E-12,1.69E-09
ARX,6.553129053,8.00E-12,1.70E-09
NR5A2,5.888758159,9.09E-12,1.90E-09
RPGR,3.656013658,1.06E-11,2.20E-09
MMEL1,7.211621124,1.10E-11,2.26E-09
MMEL1,7.211621124,1.10E-11,2.26E-09
ESPNP,6.141577499,1.12E-11,2.27E-09
GRIK1,5.632887753,1.22E-11,2.45E-09
TPX2,4.801640223,1.26E-11,2.51E-09
LAMC2,8.738323466,1.32E-11,2.59E-09
VASH2,6.293490803,1.34E-11,2.59E-09
TULP1,7.887548964,1.47E-11,2.79E-09
LINC00273,5.452133868,1.47E-11,2.79E-09
COL22A1,7.626723323,1.48E-11,2.79E-09
HOXC12,6.496219559,1.65E-11,3.08E-09
HMX1,6.74731524,1.74E-11,3.22E-09
HMX1,6.74731524,1.74E-11,3.22E-09
TAF4B,6.117228892,1.99E-11,3.64E-09
ST6GAL1,-3.051522781,2.27E-11,4.10E-09
AOAH,-7.954966731,2.34E-11,4.19E-09
C10orf82,6.389210211,2.99E-11,5.31E-09
TPD52L3,25.79673991,4.13E-11,7.25E-09
CIB4,7.735647511,4.40E-11,7.65E-09
KRT34,25.74244303,4.53E-11,7.82E-09
KRT34,25.74244303,4.53E-11,7.82E-09
SLFNL1,9.308334622,4.90E-11,8.36E-09
GPR135,5.794649463,5.10E-11,8.63E-09
F2RL3,5.165612752,5.40E-11,9.05E-09
CSF1R,-5.782655453,6.08E-11,1.01E-08
SLC35F3,7.933614993,8.59E-11,1.41E-08
OR1M1,7.723986374,8.91E-11,1.45E-08
PLEKHM2,5.586457691,9.36E-11,1.50E-08
ASTN2,6.515870986,9.38E-11,1.50E-08
WDR74,-3.172898639,9.89E-11,1.57E-08
CD4,-3.927092334,1.12E-10,1.76E-08
FGL2,-4.477893502,1.12E-10,1.76E-08
GABRE,5.874908614,1.28E-10,1.99E-08
SLC26A9,6.982279322,1.38E-10,2.13E-08
SYK,-3.047196119,1.42E-10,2.16E-08
CTRB2,7.634445739,1.66E-10,2.51E-08
CTRB2,7.634445739,1.66E-10,2.51E-08
RELN,5.433166751,1.84E-10,2.75E-08
SNCA-AS1,7.87343396,2.13E-10,3.18E-08
SH3PXD2B,3.641855918,2.29E-10,3.37E-08
LOXL1,5.412843214,2.38E-10,3.49E-08
ADAMTSL1,8.320845937,2.84E-10,4.12E-08
UGT3A1,11.94918336,2.95E-10,4.25E-08
TMEM204,3.388741944,2.98E-10,4.25E-08
OAZ2,4.003359954,3.00E-10,4.25E-08
CX3CR1,-6.541450599,3.28E-10,4.62E-08
FERD3L,9.108891614,3.59E-10,5.01E-08
NXF4,6.925106519,3.75E-10,5.20E-08
MTRNR2L10,4.419270951,3.80E-10,5.22E-08
EVX2,5.774506254,4.15E-10,5.67E-08
DMPK,2.694932129,4.37E-10,5.92E-08
KIF3B,5.585400063,4.40E-10,5.92E-08
MUC2,11.48932038,4.47E-10,5.97E-08
MUC2,11.48932038,4.47E-10,5.97E-08
MUC2,11.48932038,4.47E-10,5.97E-08
TACC2,3.777498704,5.07E-10,6.73E-08
HS3ST4,4.987966567,5.14E-10,6.77E-08
IRX2,6.976693797,5.27E-10,6.90E-08
CCDC140,7.991786655,5.34E-10,6.94E-08
MTRNR2L1,3.935474072,5.79E-10,7.46E-08
CST3,-2.928451411,6.02E-10,7.67E-08
DOCK8,-2.493325716,6.03E-10,7.67E-08
PRKACG,6.778938325,6.08E-10,7.68E-08
HDGFL1,7.873834989,6.17E-10,7.74E-08
CACNA2D2,4.813006359,6.39E-10,7.96E-08
KCNB2,7.917311765,6.65E-10,8.23E-08
MCM10,7.029870981,6.89E-10,8.47E-08
NAV3,-3.694745965,7.39E-10,9.03E-08
CA13,5.278453515,7.87E-10,9.54E-08
TINAG,6.624780312,1.01E-09,1.21E-07
ZNF618,5.524176425,1.06E-09,1.26E-07
ADA2,-3.404182698,1.09E-09,1.29E-07
CASKIN1,6.465920725,1.11E-09,1.31E-07
SLC5A4,3.704351239,1.16E-09,1.36E-07
NA,11.28129893,1.21E-09,1.41E-07
PURA,6.255568488,1.37E-09,1.58E-07
LRRC73,5.330876894,1.38E-09,1.59E-07
OTULINL,-4.245899489,1.49E-09,1.70E-07
ZNF711,5.445176747,1.58E-09,1.80E-07
ZSWIM6,5.716406749,1.65E-09,1.87E-07
ADAMTS7,4.774451185,1.73E-09,1.94E-07
SOX1,6.172027741,1.82E-09,2.02E-07
XIST,10.46551923,1.82E-09,2.02E-07
GABRA1,5.376328977,1.92E-09,2.12E-07
CXCL16,-5.359991987,2.13E-09,2.34E-07
AQP7P1,6.878035741,2.67E-09,2.92E-07
DMGDH,5.450762427,2.82E-09,3.06E-07
MFSD13A,4.368847289,3.08E-09,3.33E-07
NAGPA,3.296959171,3.28E-09,3.52E-07
SMAP2,-2.979014317,3.54E-09,3.78E-07
HECW2,4.715859146,3.68E-09,3.90E-07
LAD1,11.16137413,3.94E-09,4.15E-07
CPNE9,5.624050301,4.08E-09,4.28E-07
ADCY8,5.620764936,4.22E-09,4.40E-07
LMX1B,8.98496053,4.36E-09,4.52E-07
NKX2-1,8.67391676,4.41E-09,4.55E-07
MTRNR2L8,3.702841095,4.64E-09,4.75E-07
ZFHX3,4.93623399,4.92E-09,5.02E-07
LINC00689,9.83739774,5.10E-09,5.14E-07
HNF4A,8.702670855,5.10E-09,5.14E-07
EXOC3L1,5.057822331,5.20E-09,5.22E-07
CAMK2N2,6.798639145,5.33E-09,5.32E-07
PTAFR,-4.773967017,5.90E-09,5.82E-07
SCRT2,6.330709429,5.90E-09,5.82E-07
MPP3,5.482400015,6.14E-09,6.03E-07
C11orf80,4.816966848,6.28E-09,6.13E-07
PAX9,9.298642149,7.01E-09,6.77E-07
SERPINE1,4.137506866,7.01E-09,6.77E-07
INSM1,9.213060589,8.20E-09,7.88E-07
PLXNA2,3.751274975,8.58E-09,8.16E-07
LOC401324,10.31964541,8.59E-09,8.16E-07
GABBR2,5.948328492,9.08E-09,8.59E-07
CYP2E1,7.428212518,9.74E-09,9.16E-07
